cards,evo,hero,weight,label
26000024|26000025|26000061|26000064|26000099|27000006|28000002|28000011,26000024|26000064,,0.004338,Royal Giant / Goblinstein
26000002|26000011|26000021|26000030|26000045|28000003|28000011|28000012,26000011|26000045,26000002,0.004202,Rocket / Executioner
26000002|26000040|26000050|26000053|26000056|26000097|28000003|28000011,26000050|26000056,26000002,0.004179,Rocket / Rascals
26000009|26000023|26000032|26000037|26000048|26000069|28000008|28000024,26000037,26000023,0.004179,Golem / Inferno Dragon
26000010|26000023|26000099|26000107|27000001|28000005|28000010|28000015,26000010,26000023,0.004179,Goblinstein / Graveyard
26000006|26000010|26000014|26000032|26000038|27000004|28000015|28000017,26000010|26000014,26000006,0.004020,Balloon / Bomb Tower
26000010|26000023|26000032|26000058|26000065|27000001|28000009|28000015,26000058,26000023,0.004020,Goblin Hut / Mighty Miner
26000017|26000020|26000036|26000043|26000052|26000083|28000015|28000026,26000036|26000043,26000017,0.003975,Elite Barbarians / Giant Skeleton
26000006|26000011|26000029|26000080|27000009|28000000|28000008|28000025,26000011|28000008,26000006,0.003975,Lava Hound / Spirit Empress
26000047|26000052|26000057|26000059|26000084|27000012|28000001|28000015,26000047|27000012,28000015,0.003952,Royal Recruits / Royal Hogs
26000003|26000012|26000017|26000018|26000033|28000008|28000016|28000026,26000012|26000017,26000018,0.003952,Sparky / Giant
26000005|26000016|26000046|26000055|26000058|26000072|28000001|28000008,26000055|26000058,,0.003952,Mega Knight / Archer Queen
26000009|26000012|26000037|26000048|26000067|26000069|28000001|28000002,26000012|26000037,,0.003884,Golem / Inferno Dragon
26000027|26000033|26000042|26000043|26000060|28000002|28000008|28000016,26000060|28000008,26000027,0.003839,Elite Barbarians / Goblin Giant
26000003|26000005|26000007|26000018|26000034|28000001|28000010|28000017,26000007|28000017,26000003,0.003816,Bowler / Giant
26000005|26000010|26000084|26000099|26000107|27000000|28000000|28000015,26000010|27000000,,0.003816,Goblinstein / Fireball
26000040|26000041|26000047|26000054|26000099|27000000|28000001|28000004,26000047|28000004,,0.003770,Royal Recruits / Cannon Cart
26000026|26000027|26000046|26000053|26000054|28000003|28000004|28000017,28000004|28000017,26000027,0.003725,Rocket / Cannon Cart
26000013|26000027|26000037|26000083|26000085|27000012|28000007|28000012,26000037|27000012,26000027,0.003725,Electro Giant / Lightning
26000022|26000028|26000032|26000036|26000038|26000041|27000007|28000008,26000022|26000036,26000038,0.003680,Three Musketeers / Elixir Collector
26000004|26000005|26000036|26000042|26000050|26000074|26000083|28000001,26000004|26000036,,0.003680,P.E.K.K.A / Battle Ram
26000002|26000040|26000050|26000053|26000056|26000058|27000004|28000026,26000050|26000056,26000002,0.003612,Rascals / Bomb Tower
26000004|26000015|26000023|26000035|26000107|28000005|28000012|28000015,26000004|26000015,26000023,0.003589,P.E.K.K.A / Baby Dragon
26000003|26000007|26000025|26000034|26000052|28000001|28000010|28000017,26000007|28000017,26000034,0.003498,Bowler / Giant
26000000|26000010|26000031|26000095|27000006|27000013|28000009|28000017,27000006|28000017,26000000,0.003475,Goblin Demolisher / Goblin Drill
26000000|26000015|26000023|27000009|28000009|28000010|28000012|28000015,26000000,26000023|27000009,0.003475,Graveyard / Baby Dragon
26000018|26000027|26000033|26000042|26000060|28000002|28000008|28000016,26000060|28000008,26000018,0.003475,Goblin Giant / Sparky
26000005|26000008|26000023|26000024|26000026|26000032|27000003|28000002,26000008|26000024,,0.003453,Royal Giant / Barbarians
26000009|26000011|26000015|26000018|26000052|26000068|27000007|28000026,26000011|26000015,26000018,0.003407,Golem / Elixir Collector
26000000|26000006|26000015|26000034|26000037|28000005|28000012|28000015,26000015|26000037,26000000,0.003362,Balloon / Bowler
26000010|26000021|26000064|26000065|26000084|27000000|28000011|28000014,26000064|27000000,,0.003316,Hog Rider / Mighty Miner
26000003|26000012|26000018|26000022|26000033|26000049|28000001|28000008,26000022|28000008,26000003,0.003316,Sparky / Giant
26000010|26000014|26000021|26000030|26000038|27000000|28000000|28000011,27000000,26000014|26000038,0.003294,Fireball / Hog Rider
26000011|26000016|26000018|26000042|26000043|26000093|27000003|28000006,26000011,26000018,0.003294,Elite Barbarians / Inferno Tower
26000003|26000005|26000007|26000018|26000034|28000001|28000010|28000017,26000007|28000017,26000034,0.003271,Bowler / Giant
26000003|26000014|26000025|26000034|26000048|28000001|28000010|28000017,26000014|28000017,26000034,0.003248,Bowler / Giant
26000005|26000012|26000029|26000048|28000005|28000006|28000008|28000013,26000012|28000008,,0.003203,Lava Hound / Freeze
26000021|26000022|26000025|26000043|26000045|26000103|28000005|28000008,26000022|26000045,,0.003157,Boss Bandit / Elite Barbarians
26000012|26000045|26000048|26000067|26000069|28000002|28000023|28000024,26000012|26000045,,0.003112,Executioner / Void
26000001|26000010|26000084|26000099|26000107|27000001|28000000|28000015,26000001|26000010,,0.003112,Goblinstein / Fireball
26000021|26000022|26000045|26000103|26000106|28000005|28000015|28000017,26000022|28000017,,0.003112,Boss Bandit / Executioner
26000005|26000023|26000053|26000054|26000056|27000002|28000000|28000015,26000056|27000002,26000023,0.003089,Cannon Cart / Rascals
26000005|26000021|26000022|26000043|26000045|26000103|28000005|28000008,26000022|26000043,,0.003089,Boss Bandit / Elite Barbarians
26000008|26000029|26000032|26000057|26000087|27000009|28000008|28000024,26000008|28000008,27000009,0.003066,Lava Hound / Barbarians
26000012|26000020|26000022|26000033|27000006|28000001|28000004|28000013,26000022|27000006,,0.003021,Giant Skeleton / Sparky
26000001|26000013|26000055|26000083|26000096|26000103|28000001|28000007,26000013|26000055,,0.003021,Mega Knight / Boss Bandit
26000004|26000006|26000015|26000023|26000035|28000005|28000012|28000015,26000004|26000015,26000023,0.003021,P.E.K.K.A / Balloon
26000011|26000021|26000038|26000041|26000058|26000064|27000003|28000014,26000011|26000064,26000038,0.002998,Inferno Tower / Hog Rider
26000031|26000032|26000049|26000058|26000062|26000102|27000004|28000018,26000049|26000058,26000062,0.002976,Bomb Tower / Magic Archer
26000013|26000034|26000047|26000085|27000000|28000001|28000012|28000025,26000013|26000047,26000034,0.002862,Electro Giant / Royal Recruits
26000028|26000038|26000043|26000046|26000050|27000007|28000008|28000016,26000050|28000008,26000038,0.002839,Three Musketeers / Elite Barbarians
26000047|26000052|26000057|26000059|27000012|28000000|28000001|28000015,26000047|27000012,28000015,0.002817,Royal Recruits / Royal Hogs
26000007|26000009|26000018|26000043|26000080|27000007|28000015|28000026,26000007|26000043,26000018,0.002817,Golem / Elite Barbarians
26000019|26000030|26000031|26000040|26000058|26000097|26000103|28000011,26000040|26000058,,0.002771,Boss Bandit / Dart Goblin
26000004|26000036|26000042|26000046|26000050|26000062|28000000|28000008,26000004|26000036,26000062,0.002771,P.E.K.K.A / Battle Ram
26000006|26000008|26000014|26000036|26000042|26000062|26000065|28000025,26000008,26000006,0.002726,Spirit Empress / Balloon
26000019|26000023|26000041|26000054|26000056|26000069|27000002|28000001,26000056|27000002,,0.002612,Cannon Cart / Mortar
26000010|26000014|26000021|26000030|26000038|27000000|28000000|28000011,26000010|26000014,26000038,0.002612,Fireball / Hog Rider
26000011|26000016|26000018|26000026|26000063|26000087|27000002|27000008,26000063|27000002,26000018,0.002612,X-Bow / Electro Dragon
26000004|26000023|26000039|26000050|26000103|27000010|28000008|28000024,26000004|26000050,,0.002589,P.E.K.K.A / Boss Bandit
26000001|26000006|26000035|26000047|26000061|26000093|28000001|28000017,26000001|26000047,,0.002589,Royal Recruits / Balloon
26000008|26000029|26000039|26000080|26000107|27000009|28000000|28000008,26000008|28000008,26000039,0.002589,Lava Hound / Barbarians
26000000|26000015|26000023|27000001|28000009|28000010|28000012|28000015,26000000|26000015,26000023,0.002589,Graveyard / Baby Dragon
26000029|26000032|26000037|26000080|26000101|26000102|28000000|28000008,26000037|28000008,26000102,0.002567,Lava Hound / Fireball
26000030|26000049|26000059|26000072|27000000|28000011|28000014|28000018,26000059|27000000,,0.002567,Archer Queen / Royal Hogs
26000004|26000036|26000042|26000050|26000074|26000083|28000000|28000008,26000036|26000050,,0.002544,P.E.K.K.A / Battle Ram
26000023|26000032|26000041|26000049|26000054|26000099|27000002|28000001,26000049|27000002,,0.002499,Cannon Cart / Goblinstein
26000047|26000052|26000057|26000059|26000074|27000012|28000001|28000015,26000047|27000012,,0.002476,Royal Recruits / Royal Hogs
26000001|26000010|26000084|26000099|26000107|27000006|28000007|28000015,26000001|26000010,,0.002453,Lightning / Goblinstein
26000027|26000039|26000047|26000049|26000059|26000095|27000000|28000017,28000017,26000027|26000039,0.002408,Royal Recruits / Royal Hogs
26000009|26000035|26000039|26000048|26000057|27000009|28000008|28000009,26000035,26000039|27000009,0.002408,Golem / Flying Machine
26000006|26000007|26000008|26000012|26000033|26000077|26000085|28000007,26000007,26000006,0.002385,Electro Giant / Lightning
26000017|26000020|26000035|26000036|26000083|26000095|28000016|28000026,26000035|26000036,26000017,0.002362,Giant Skeleton / Wizard
26000007|26000035|26000045|26000048|26000067|26000069|28000013|28000024,26000007|26000045,,0.002362,Executioner / Witch
26000017|26000022|26000032|26000035|26000063|26000065|26000097|28000024,26000035|26000063,,0.002362,Electro Dragon / Minion Horde
26000011|26000026|26000030|26000041|27000003|28000003|28000004|28000011,26000011|28000004,,0.002317,Rocket / Inferno Tower
26000011|26000051|26000052|26000062|27000009|28000006|28000018|28000025,26000011,26000062,0.002294,Spirit Empress / Ram Rider
26000003|26000013|26000016|26000027|26000039|28000000|28000002|28000008,28000008,26000003|26000039,0.002294,Giant / Prince
26000010|26000014|26000030|26000038|26000107|27000000|28000000|28000011,26000014|27000000,26000038,0.002249,Fireball / Minion Giant
26000000|26000010|26000031|26000095|27000006|27000013|28000009|28000017,27000013|28000017,26000000,0.002226,Goblin Demolisher / Goblin Drill
26000028|26000035|26000043|26000074|26000087|27000007|28000002|28000006,26000035,,0.002226,Three Musketeers / Elite Barbarians
26000017|26000020|26000036|26000042|26000050|26000083|28000015|28000026,26000036|26000050,26000017,0.002226,Giant Skeleton / Wizard
26000011|26000023|26000049|26000053|26000064|27000002|27000013|28000009,27000002|27000013,,0.002203,Rascals / Goblin Drill
26000026|26000039|26000046|26000049|26000054|26000055|27000003|27000010,27000010,26000039,0.002203,Mega Knight / Cannon Cart
26000006|26000008|26000029|26000039|26000080|27000009|28000000|28000008,28000008,26000006|26000039,0.002203,Lava Hound / Balloon
26000006|26000010|26000014|26000032|26000038|27000004|28000015|28000017,26000010|26000014,28000015,0.002158,Balloon / Bomb Tower
26000016|26000046|26000049|26000055|26000058|26000072|28000001|28000008,26000055|26000058,,0.002158,Mega Knight / Archer Queen
26000032|26000037|26000038|26000039|26000107|27000012|28000000|28000008,26000037|28000008,26000039,0.002158,Fireball / Goblin Cage
26000003|26000007|26000018|26000027|27000007|28000001|28000002|28000008,26000007|28000008,26000003,0.002158,Elixir Collector / Giant
26000002|26000012|26000031|26000040|26000056|26000069|26000097|28000026,26000012|26000056,,0.002135,Skeleton King / Dart Goblin
26000020|26000052|26000102|27000001|27000010|28000010|28000017|28000024,27000010|28000017,,0.002112,Giant Skeleton / Graveyard
26000024|26000025|26000044|26000061|26000077|26000084|28000007|28000011,26000024|26000044,,0.002112,Lightning / Royal Giant
26000000|26000007|26000023|27000012|28000009|28000010|28000015|28000026,26000007|27000012,26000000,0.002112,Graveyard / Witch
26000041|26000058|26000064|26000074|26000077|27000003|27000013|28000004,26000064,,0.002090,Inferno Tower / Monk
26000010|26000014|26000021|26000038|26000084|27000000|28000000|28000011,26000010|27000000,26000014,0.002090,Fireball / Hog Rider
26000007|26000008|26000012|26000021|26000033|26000042|28000000|28000008,26000007|26000008,,0.002090,Sparky / Barbarians
26000010|26000021|26000030|26000064|26000065|27000000|28000011|28000014,26000064|27000000,,0.002067,Hog Rider / Mighty Miner
26000008|26000009|26000035|26000037|26000063|26000068|27000007|28000012,26000037|26000063,,0.002067,Golem / Elixir Collector
26000005|26000011|26000015|26000027|26000042|26000058|26000095|27000012,26000011|26000015,26000027,0.002044,Baby Dragon / Dark Prince
26000028|26000038|26000043|26000050|26000074|27000007|28000015|28000016,26000043|26000050,,0.002044,Three Musketeers / Elite Barbarians
26000003|26000007|26000018|26000043|27000007|28000007|28000008|28000016,26000007|26000043,26000003,0.002022,Elite Barbarians / Elixir Collector
26000016|26000041|26000046|26000055|26000058|26000072|28000001|28000008,26000055|26000058,,0.001999,Mega Knight / Archer Queen
26000002|26000021|26000030|26000064|26000065|27000004|28000011|28000014,26000064,26000002,0.001999,Bomb Tower / Hog Rider
26000016|26000055|26000062|26000063|26000085|26000102|27000000|28000009,26000055|26000063,26000062,0.001976,Electro Giant / Mega Knight
26000040|26000041|26000044|26000046|26000049|26000051|26000103|28000024,26000044|26000049,,0.001953,Boss Bandit / Ram Rider
26000013|26000037|26000074|26000083|26000085|27000012|28000007|28000012,26000037|27000012,,0.001953,Electro Giant / Lightning
26000006|26000034|26000035|26000037|26000063|28000005|28000012|28000015,26000035|26000063,26000006,0.001931,Balloon / Bowler
26000002|26000011|26000030|26000031|26000040|26000058|28000003|28000004,26000011|28000004,26000002,0.001931,Rocket / Valkyrie
26000007|26000027|26000037|26000057|26000060|26000064|27000004|28000002,26000007|26000064,,0.001931,Goblin Giant / Witch
26000008|26000015|26000036|26000043|26000055|26000087|28000002|28000006,26000036|26000055,,0.001931,Mega Knight / Elite Barbarians
26000000|26000001|26000010|26000084|27000006|27000008|28000003|28000011,26000001|27000006,26000000,0.001931,Rocket / X-Bow
26000007|26000015|26000021|26000022|26000028|26000043|26000068|26000103,26000007|26000022,,0.001931,Three Musketeers / Boss Bandit
26000010|26000031|26000055|26000084|26000093|27000007|27000008|28000017,26000055|28000017,,0.001908,Mega Knight / Elixir Collector
26000007|26000016|26000018|26000022|26000041|26000085|26000093|28000007,26000007,,0.001885,Electro Giant / Lightning
26000001|26000026|26000041|26000060|26000062|26000083|27000009|28000004,26000001|26000060,26000062,0.001885,Goblin Giant / Magic Archer
26000011|26000023|26000042|27000002|27000003|27000006|27000008|28000000,26000011|27000002,,0.001885,X-Bow / Inferno Tower
26000004|26000014|26000024|26000025|26000061|26000064|26000084|28000007,26000024|26000064,,0.001863,P.E.K.K.A / Lightning
26000008|26000011|26000017|26000042|26000045|26000085|26000103|28000023,26000017,,0.001863,Electro Giant / Boss Bandit
26000019|26000022|26000032|26000041|26000053|26000056|27000002|28000017,26000022|26000056,,0.001863,Minion Horde / Rascals
26000003|26000017|26000018|26000025|26000027|26000049|28000007|28000011,26000017|26000049,26000003,0.001863,Lightning / Giant
26000002|26000022|26000032|26000053|26000054|26000080|27000002|28000001,26000022|27000002,26000002,0.001840,Cannon Cart / Minion Horde
26000009|26000013|26000018|26000035|26000048|26000087|28000000|28000008,26000035|28000008,26000018,0.001840,Golem / Fireball
26000012|26000040|26000056|26000058|26000069|26000083|26000102|28000026,26000012|26000056,,0.001840,Mother Witch / Skeleton King
26000006|26000015|26000034|26000035|26000037|28000005|28000012|28000015,26000015|26000037,26000006,0.001840,Balloon / Bowler
26000010|26000023|26000049|26000050|26000107|27000001|28000000|28000015,26000049|26000050,26000023,0.001817,Fireball / Goblin Hut
26000015|26000029|26000038|26000042|27000000|28000001|28000013|28000023,26000015|27000000,26000038,0.001794,Lava Hound / Void
26000011|26000018|26000033|26000039|26000083|26000085|26000103|27000010,,,0.001794,Electro Giant / Boss Bandit
26000020|26000049|26000102|27000001|27000010|28000009|28000010|28000015,26000049|27000010,28000015,0.001794,Giant Skeleton / Graveyard
26000009|26000013|26000018|26000043|26000048|26000087|28000000|28000008,26000043|28000008,26000018,0.001794,Golem / Elite Barbarians
26000008|26000015|26000018|26000021|26000027|26000047|26000051|26000064,26000047,26000018,0.001772,Royal Recruits / Barbarians
26000000|26000015|26000023|27000009|28000009|28000010|28000012|28000015,26000000|26000015,28000015,0.001772,Graveyard / Baby Dragon
26000008|26000036|26000046|26000050|26000072|27000007|28000001|28000016,26000008|26000036,,0.001749,Elixir Collector / Archer Queen
26000040|26000041|26000043|26000056|26000097|26000102|28000000|28000011,26000043|26000056,26000102,0.001749,Elite Barbarians / Fireball
26000008|26000013|26000016|26000021|26000024|26000031|26000093|28000001,26000024,,0.001749,Royal Giant / Barbarians
26000004|26000056|26000062|26000080|26000103|27000009|28000006|28000009,26000004,26000062,0.001749,P.E.K.K.A / Boss Bandit
26000007|26000011|26000018|26000020|26000033|26000049|26000099|27000002,26000011|27000002,,0.001749,Giant Skeleton / Sparky
26000003|26000017|26000018|26000033|28000008|28000012|28000016|28000026,26000017,26000003|26000018,0.001749,Sparky / Giant
26000020|26000054|26000056|26000080|27000001|27000010|28000012|28000013,26000056|27000010,,0.001726,Giant Skeleton / Cannon Cart
26000012|26000016|26000033|26000045|26000062|26000067|27000003|28000006,26000012|26000045,26000062,0.001726,Sparky / Executioner
26000011|26000040|26000062|26000080|26000101|26000102|27000000|28000009,27000000,26000062,0.001704,Magic Archer / Poison
26000007|26000020|26000022|26000028|26000047|26000064|28000003|28000013,26000007|26000047,,0.001704,Three Musketeers / Royal Recruits
26000000|26000004|26000039|26000051|26000093|28000001|28000008|28000015,26000000,26000039,0.001704,P.E.K.K.A / Ram Rider
26000043|26000045|26000055|26000057|26000063|26000077|26000083|27000003,26000045|26000055,,0.001704,Mega Knight / Elite Barbarians
26000023|26000050|26000051|26000055|28000000|28000008|28000015|28000025,26000050|26000055,26000023,0.001704,Mega Knight / Spirit Empress
26000000|26000010|26000014|26000056|26000080|27000002|28000000|28000015,26000056|27000002,26000014,0.001704,Fireball / Mortar
26000035|26000037|26000055|26000060|26000065|26000102|27000010|28000002,26000055|26000060,,0.001681,Mega Knight / Goblin Giant
26000013|26000014|26000018|26000023|26000046|26000055|26000062|26000085,26000013|26000055,26000018,0.001681,Electro Giant / Mega Knight
26000000|26000001|26000010|26000030|27000006|27000008|28000000|28000011,26000001|27000006,26000000,0.001681,X-Bow / Fireball
26000012|26000013|26000016|26000017|26000026|26000043|26000051|26000067,26000026,26000017,0.001681,Elite Barbarians / Prince
26000006|26000010|26000014|26000032|26000038|27000004|28000015|28000017,26000014|28000017,26000006,0.001681,Balloon / Bomb Tower
26000009|26000027|26000035|26000063|26000080|27000007|28000012|28000015,26000035|26000063,26000027,0.001681,Golem / Elixir Collector
26000003|26000005|26000007|26000034|26000052|28000001|28000010|28000017,26000007|28000017,26000034,0.001681,Bowler / Giant
26000006|26000011|26000029|26000037|26000080|27000009|28000000|28000008,26000037|28000008,26000011,0.001681,Lava Hound / Balloon
26000003|26000012|26000015|26000016|26000017|26000020|26000022|27000010,26000017|27000010,,0.001658,Giant Skeleton / Giant
26000001|26000027|26000059|26000084|26000102|27000006|28000007|28000018,26000001|26000059,26000027,0.001658,Lightning / Royal Hogs
26000005|26000006|26000017|26000042|26000051|26000063|26000085|27000009,26000063,26000006|26000017,0.001635,Electro Giant / Balloon
26000001|26000005|26000007|26000018|26000038|26000067|26000069|28000009,26000001|26000007,,0.001635,Witch / Mini P.E.K.K.A
26000017|26000032|26000039|26000048|26000067|26000068|26000083|27000010,27000010,26000017|26000039,0.001635,Wizard / Battle Healer
26000006|26000011|26000025|26000029|26000037|26000080|28000000|28000008,26000011|26000037,26000006,0.001635,Lava Hound / Balloon
26000001|26000007|26000016|26000025|26000072|27000002|27000010|28000009,27000002|27000010,,0.001613,Archer Queen / Prince
26000016|26000020|26000033|26000045|26000077|27000005|28000003|28000013,26000045,,0.001613,Barbarian Hut / Giant Skeleton
26000007|26000024|26000052|26000061|26000069|27000009|28000000|28000015,26000007|26000024,,0.001613,Royal Giant / Witch
26000012|26000022|26000026|26000032|26000058|26000102|27000003|28000011,26000012|26000022,26000102,0.001613,Inferno Tower / Minion Horde
26000032|26000037|26000095|26000101|26000102|27000001|28000008|28000024,26000037|28000008,26000102,0.001613,Goblin Demolisher / Goblin Hut
26000017|26000027|26000033|26000067|26000074|26000087|28000018|28000024,26000017,26000027,0.001590,Sparky / Wizard
26000002|26000026|26000030|26000065|27000000|28000003|28000004|28000011,26000026|27000000,,0.001590,Rocket / Mighty Miner
26000010|26000013|26000026|26000039|26000051|26000068|26000101|28000004,26000010|26000013,26000039,0.001590,Ram Rider / Battle Healer
26000023|26000069|26000087|27000009|28000009|28000010|28000012|28000015,,27000009,0.001590,Graveyard / Phoenix
26000007|26000009|26000015|26000018|26000068|26000102|27000007|28000005,26000007|26000015,26000018,0.001590,Golem / Elixir Collector
26000013|26000015|26000023|26000027|26000085|27000010|28000007|28000012,26000013|27000010,,0.001590,Electro Giant / Lightning
26000006|26000008|26000029|26000039|26000080|27000009|28000000|28000008,26000008|28000008,26000039,0.001590,Lava Hound / Balloon
26000000|26000034|26000043|26000062|26000067|27000002|28000012|28000018,27000002,26000000|26000062,0.001567,Elite Barbarians / Bowler
26000003|26000007|26000034|26000083|26000087|28000006|28000025|28000026,26000007,26000003|26000034,0.001567,Spirit Empress / Bowler
26000008|26000014|26000015|26000027|26000043|26000045|26000059|27000010,26000045|27000010,26000014,0.001567,Elite Barbarians / Barbarians
26000002|26000040|26000041|26000047|26000056|26000058|26000065|28000003,26000047,26000002,0.001567,Royal Recruits / Rocket
26000006|26000015|26000025|26000035|26000087|27000012|28000005|28000015,26000015|26000035,26000006,0.001545,Balloon / Baby Dragon
26000012|26000047|26000059|27000009|27000010|28000003|28000025|28000026,26000012|26000059,27000009,0.001545,Royal Recruits / Rocket
26000000|26000026|26000030|26000041|27000003|28000003|28000004|28000011,28000004,26000000,0.001522,Rocket / Inferno Tower
26000011|26000039|26000054|26000093|27000002|27000006|27000010|28000007,27000010,26000039,0.001522,Lightning / Cannon Cart
